task_index,task_id,kind,cation,anion,solvent,topology,epsilon,input_xyz,charge_reduced,uhf_reduced,charge_oxidized,uhf_oxidized,optimize_reduced,restraint,restraint_force_constant_eh_bohr2,source_restrained_task_id,source_initial_xyz_sha256
11,triad__BMIM__NTF2__PC__CSA,triad,BMIM,NTF2,PC,CSA,65.0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__PC__CSA.xyz,0,0,1,1,1,none,,triad__BMIM__NTF2__PC__CSA,52a54554317b8156c6496b44c8d7133456295cb8673bcc60556adfdde9ee8da8
12,triad__BMIM__NTF2__PC__ACS,triad,BMIM,NTF2,PC,ACS,65.0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__PC__ACS.xyz,0,0,1,1,1,none,,triad__BMIM__NTF2__PC__ACS,2ce02328d585d0ed1ff64c178e49b5504572f2bfee8ef44d9a10ab18629818ba
13,triad__BMIM__NTF2__EG__CAS,triad,BMIM,NTF2,EG,CAS,37.0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__EG__CAS.xyz,0,0,1,1,1,none,,triad__BMIM__NTF2__EG__CAS,7e59d5aba19248678d89334070d2a422d2ec8089d9d7a7174ad9c8cc1a7ec917
14,triad__BMIM__NTF2__EG__CSA,triad,BMIM,NTF2,EG,CSA,37.0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__EG__CSA.xyz,0,0,1,1,1,none,,triad__BMIM__NTF2__EG__CSA,eba950fd324176b825e22a244c23369936fc469f5fb6031065c2d85ce9874b0c
15,triad__BMIM__NTF2__EG__ACS,triad,BMIM,NTF2,EG,ACS,37.0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__EG__ACS.xyz,0,0,1,1,1,none,,triad__BMIM__NTF2__EG__ACS,79c042f1b5abbd404df75b8779ae814ddb01153ee0a46c69d45d6914c4eb5fa1
16,triad__BMIM__NTF2__THF__CAS,triad,BMIM,NTF2,THF,CAS,7.6,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__THF__CAS.xyz,0,0,1,1,1,none,,triad__BMIM__NTF2__THF__CAS,ec7628c34812627ffd4af8480adcc73af10ef4af740146c72ad875419ee59b78
17,triad__BMIM__NTF2__THF__CSA,triad,BMIM,NTF2,THF,CSA,7.6,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__THF__CSA.xyz,0,0,1,1,1,none,,triad__BMIM__NTF2__THF__CSA,d7f35c7ba31c888ab9e3db9356c1b094a20df0661edd69315295827a88d2f6cf
18,triad__BMIM__NTF2__THF__ACS,triad,BMIM,NTF2,THF,ACS,7.6,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__THF__ACS.xyz,0,0,1,1,1,none,,triad__BMIM__NTF2__THF__ACS,b8451c839ea5969bf159b000f32219a20a269a439d1680e87c5b8d3199c742ff
19,triad__HMIM__NTF2__PC__CAS,triad,HMIM,NTF2,PC,CAS,65.0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__PC__CAS.xyz,0,0,1,1,1,none,,triad__HMIM__NTF2__PC__CAS,9fa383d9e90dbae0e5f7085c473d90e8d8976e84158b4f6e100bf5728c44bef5
20,triad__HMIM__NTF2__PC__CSA,triad,HMIM,NTF2,PC,CSA,65.0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__PC__CSA.xyz,0,0,1,1,1,none,,triad__HMIM__NTF2__PC__CSA,d0ac1171e2df9cdae1a939b143fa754b707a968654c1c205438a721d1fbc5f28
21,triad__HMIM__NTF2__PC__ACS,triad,HMIM,NTF2,PC,ACS,65.0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__PC__ACS.xyz,0,0,1,1,1,none,,triad__HMIM__NTF2__PC__ACS,e923cc4bcc96e0bea4d41da04981d345ee37a8b3463c550731b48f5f185002ba
22,triad__HMIM__NTF2__EG__CAS,triad,HMIM,NTF2,EG,CAS,37.0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__EG__CAS.xyz,0,0,1,1,1,none,,triad__HMIM__NTF2__EG__CAS,f85bc4b392656449c58ed42218232b275b79aaca0ba4a15fb1848a5f58af32db
23,triad__HMIM__NTF2__EG__CSA,triad,HMIM,NTF2,EG,CSA,37.0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__EG__CSA.xyz,0,0,1,1,1,none,,triad__HMIM__NTF2__EG__CSA,7600c51c10da0b318ea322a4f38fa30205dce2aee97208e6713b9c9c8da4366b
24,triad__HMIM__NTF2__EG__ACS,triad,HMIM,NTF2,EG,ACS,37.0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__EG__ACS.xyz,0,0,1,1,1,none,,triad__HMIM__NTF2__EG__ACS,badd556aefc6ca273efa8195b09086b582f62527be3c8eff047608b0e5957747
25,triad__HMIM__NTF2__THF__CAS,triad,HMIM,NTF2,THF,CAS,7.6,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__THF__CAS.xyz,0,0,1,1,1,none,,triad__HMIM__NTF2__THF__CAS,84e10c173b296f2c246e7a2137f3f372497061c03c0257b6979afb37d229e531
26,triad__HMIM__NTF2__THF__CSA,triad,HMIM,NTF2,THF,CSA,7.6,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__THF__CSA.xyz,0,0,1,1,1,none,,triad__HMIM__NTF2__THF__CSA,08e46986e0c9094acd897e8cdedc0e3c798362e92328985a95dbae25180cd90a
27,triad__HMIM__NTF2__THF__ACS,triad,HMIM,NTF2,THF,ACS,7.6,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__THF__ACS.xyz,0,0,1,1,1,none,,triad__HMIM__NTF2__THF__ACS,31377f6556819c36ac1f95440f95aa99acc2fe3c147081eda8a61b77568f099e
28,triad__EMIM__OTF__PC__CAS,triad,EMIM,OTF,PC,CAS,65.0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__PC__CAS.xyz,0,0,1,1,1,none,,triad__EMIM__OTF__PC__CAS,a12b12803347ea636bf3bd5c785f5a889021be7ebd52de8a95b82f47151a56fb
29,triad__EMIM__OTF__PC__CSA,triad,EMIM,OTF,PC,CSA,65.0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__PC__CSA.xyz,0,0,1,1,1,none,,triad__EMIM__OTF__PC__CSA,d681d01816df962b056c930721f4dedb20ed0bd8aab5af8884aff9e09923c47b
30,triad__EMIM__OTF__PC__ACS,triad,EMIM,OTF,PC,ACS,65.0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__PC__ACS.xyz,0,0,1,1,1,none,,triad__EMIM__OTF__PC__ACS,a17ec25938bb1c843465d4b0a50b41a4ba7f6345c6992d0442cab181006e21be
31,triad__EMIM__OTF__EG__CAS,triad,EMIM,OTF,EG,CAS,37.0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__EG__CAS.xyz,0,0,1,1,1,none,,triad__EMIM__OTF__EG__CAS,8c07c524334a7d05b0bcbee5aea58f49a79f797a341cdd8ed15a3e894968bd81
32,triad__EMIM__OTF__EG__CSA,triad,EMIM,OTF,EG,CSA,37.0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__EG__CSA.xyz,0,0,1,1,1,none,,triad__EMIM__OTF__EG__CSA,7c3da45174c6f337c02d7b6b56e1ea53074dd465cbbc193d93f7dd8745fbf2d0
33,triad__EMIM__OTF__EG__ACS,triad,EMIM,OTF,EG,ACS,37.0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__EG__ACS.xyz,0,0,1,1,1,none,,triad__EMIM__OTF__EG__ACS,dcccbda2839c5849da4df99607f824fd6d0d39c8a5dcdc2eb8df62a2f38da178
34,triad__EMIM__OTF__THF__CAS,triad,EMIM,OTF,THF,CAS,7.6,data/chauhan_cation_eox/initial/triad__EMIM__OTF__THF__CAS.xyz,0,0,1,1,1,none,,triad__EMIM__OTF__THF__CAS,cb4ec53a0ea93ab41fdc8955b5ae7e17a73275e67d34c33f70762734caf939fe
35,triad__EMIM__OTF__THF__CSA,triad,EMIM,OTF,THF,CSA,7.6,data/chauhan_cation_eox/initial/triad__EMIM__OTF__THF__CSA.xyz,0,0,1,1,1,none,,triad__EMIM__OTF__THF__CSA,b74dd0e552647ef775dacbddfa7858b9ab26ffcf358dfe7e27d925849e773106
36,triad__EMIM__OTF__THF__ACS,triad,EMIM,OTF,THF,ACS,7.6,data/chauhan_cation_eox/initial/triad__EMIM__OTF__THF__ACS.xyz,0,0,1,1,1,none,,triad__EMIM__OTF__THF__ACS,19297f0054b8e69f77702961553786322487cd3b96a176b9a1f0e80ca2472d16
37,triad__HMIM__OTF__PC__CAS,triad,HMIM,OTF,PC,CAS,65.0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__PC__CAS.xyz,0,0,1,1,1,none,,triad__HMIM__OTF__PC__CAS,f80d98d50a444728581643ccf6e7c0b7cb21242dc389e5294c0ffb17659b0249
38,triad__HMIM__OTF__PC__CSA,triad,HMIM,OTF,PC,CSA,65.0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__PC__CSA.xyz,0,0,1,1,1,none,,triad__HMIM__OTF__PC__CSA,3e51e6fec0da06468c4ac1efbc64e6fe64a9da29d004f76677d255ac357029d2
39,triad__HMIM__OTF__PC__ACS,triad,HMIM,OTF,PC,ACS,65.0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__PC__ACS.xyz,0,0,1,1,1,none,,triad__HMIM__OTF__PC__ACS,a567f22748aa2c2426919d3fc86bf45c88848999bfa4b484d63a8c94a8795653
40,triad__HMIM__OTF__EG__CAS,triad,HMIM,OTF,EG,CAS,37.0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__EG__CAS.xyz,0,0,1,1,1,none,,triad__HMIM__OTF__EG__CAS,5cd6b47992ed50136f988329960894cdcb3b6af24667b5e9c39d5e0a42341062
41,triad__HMIM__OTF__EG__CSA,triad,HMIM,OTF,EG,CSA,37.0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__EG__CSA.xyz,0,0,1,1,1,none,,triad__HMIM__OTF__EG__CSA,0f4eab392bebbc7a4c3dd73305571fbaeb4b00a425c3bb5885324f701b77b016
42,triad__HMIM__OTF__EG__ACS,triad,HMIM,OTF,EG,ACS,37.0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__EG__ACS.xyz,0,0,1,1,1,none,,triad__HMIM__OTF__EG__ACS,607ae49d9a92e303294f332f6f352c2c858adafdaf9d5553affa36ebe36230bb
43,triad__HMIM__OTF__THF__CAS,triad,HMIM,OTF,THF,CAS,7.6,data/chauhan_cation_eox/initial/triad__HMIM__OTF__THF__CAS.xyz,0,0,1,1,1,none,,triad__HMIM__OTF__THF__CAS,105fcc6f162f87e9a84e32f6bcaf66b32fcf19466d8d3b01cff362877fe1053f
44,triad__HMIM__OTF__THF__CSA,triad,HMIM,OTF,THF,CSA,7.6,data/chauhan_cation_eox/initial/triad__HMIM__OTF__THF__CSA.xyz,0,0,1,1,1,none,,triad__HMIM__OTF__THF__CSA,924fddf1b45ce35d96db8303edc3a1d05ad2839db28741b4d4be94aa5e1f317d
45,triad__HMIM__OTF__THF__ACS,triad,HMIM,OTF,THF,ACS,7.6,data/chauhan_cation_eox/initial/triad__HMIM__OTF__THF__ACS.xyz,0,0,1,1,1,none,,triad__HMIM__OTF__THF__ACS,ad862bc81712f434b05c8093d1e053f14eecfbaeffa616abc92279b5795092a4
46,triad__BMPYRR__OTF__PC__CAS,triad,BMPYRR,OTF,PC,CAS,65.0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__PC__CAS.xyz,0,0,1,1,1,none,,triad__BMPYRR__OTF__PC__CAS,67455a15b3cf75c76a1301086232735ca0b4176d0e45c26fb253c3c6299e370c
47,triad__BMPYRR__OTF__PC__CSA,triad,BMPYRR,OTF,PC,CSA,65.0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__PC__CSA.xyz,0,0,1,1,1,none,,triad__BMPYRR__OTF__PC__CSA,287f1eba7cdfe9d71cb4af8baa2989147e1c6cdd6c34945bd49a21fef6d173d8
48,triad__BMPYRR__OTF__PC__ACS,triad,BMPYRR,OTF,PC,ACS,65.0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__PC__ACS.xyz,0,0,1,1,1,none,,triad__BMPYRR__OTF__PC__ACS,42dada24d1fb2426e7b843cd9a7268e2f8c9cbe8be02ad414fb504f78ac21cb9
49,triad__BMPYRR__OTF__EG__CAS,triad,BMPYRR,OTF,EG,CAS,37.0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__EG__CAS.xyz,0,0,1,1,1,none,,triad__BMPYRR__OTF__EG__CAS,3a26b94c259743ef2fc56bbdf8c90813db57778c82862461a40fb8580b04ca0e
50,triad__BMPYRR__OTF__EG__CSA,triad,BMPYRR,OTF,EG,CSA,37.0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__EG__CSA.xyz,0,0,1,1,1,none,,triad__BMPYRR__OTF__EG__CSA,e63bae02e2b2e415d0a10b2c9b39b8736620878fca988d4d8246c62593ba96b2
51,triad__BMPYRR__OTF__EG__ACS,triad,BMPYRR,OTF,EG,ACS,37.0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__EG__ACS.xyz,0,0,1,1,1,none,,triad__BMPYRR__OTF__EG__ACS,d9d52927db705664f489860c2ce7e47590a16cabee98639a77a40b946d48364c
52,triad__BMPYRR__OTF__THF__CAS,triad,BMPYRR,OTF,THF,CAS,7.6,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__THF__CAS.xyz,0,0,1,1,1,none,,triad__BMPYRR__OTF__THF__CAS,24321c4abcdbbfb6e579f79891cc344ead572301013e88a9de07ea8177b77859
53,triad__BMPYRR__OTF__THF__CSA,triad,BMPYRR,OTF,THF,CSA,7.6,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__THF__CSA.xyz,0,0,1,1,1,none,,triad__BMPYRR__OTF__THF__CSA,60e8fa1d32ca6f8c1357b4519820acfa314ef163e0849c104fd12235173b64f2
54,triad__BMPYRR__OTF__THF__ACS,triad,BMPYRR,OTF,THF,ACS,7.6,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__THF__ACS.xyz,0,0,1,1,1,none,,triad__BMPYRR__OTF__THF__ACS,325b35162b6a1b3005b362f03e8d5ee8e64d13ae99a543b04f5f176d43cc2647
55,triad__BMIM__PF6__PC__CAS,triad,BMIM,PF6,PC,CAS,65.0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__PC__CAS.xyz,0,0,1,1,1,none,,triad__BMIM__PF6__PC__CAS,7be241c7b640d8c28432f212595632a5e1f9d6de5e94a3059cb42e86c11fbe37
56,triad__BMIM__PF6__PC__CSA,triad,BMIM,PF6,PC,CSA,65.0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__PC__CSA.xyz,0,0,1,1,1,none,,triad__BMIM__PF6__PC__CSA,798245ff0119fbebde49251b8c930e4d1d63c74a99e16dcc657a015b5e7100d9
57,triad__BMIM__PF6__PC__ACS,triad,BMIM,PF6,PC,ACS,65.0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__PC__ACS.xyz,0,0,1,1,1,none,,triad__BMIM__PF6__PC__ACS,1f822c3c705d502c0eba07fabea6178215127ac3b10d47b31ce58d5394fd0655
58,triad__BMIM__PF6__EG__CAS,triad,BMIM,PF6,EG,CAS,37.0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__EG__CAS.xyz,0,0,1,1,1,none,,triad__BMIM__PF6__EG__CAS,e18f9b1c8e0d0252cde242621c87b901f9b36e2025b38ec80d44fac5cdb28afe
59,triad__BMIM__PF6__EG__CSA,triad,BMIM,PF6,EG,CSA,37.0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__EG__CSA.xyz,0,0,1,1,1,none,,triad__BMIM__PF6__EG__CSA,5220b5b63c38b2b11da6daff44e011ceaa52fd81862d09d8b3149a93834a9c27
60,triad__BMIM__PF6__EG__ACS,triad,BMIM,PF6,EG,ACS,37.0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__EG__ACS.xyz,0,0,1,1,1,none,,triad__BMIM__PF6__EG__ACS,56fddc6799d7bc5f5f093339c31dfbb88b9f62746a154bdd8b99d0e5824ba29f
61,triad__BMIM__PF6__THF__CAS,triad,BMIM,PF6,THF,CAS,7.6,data/chauhan_cation_eox/initial/triad__BMIM__PF6__THF__CAS.xyz,0,0,1,1,1,none,,triad__BMIM__PF6__THF__CAS,6291108ddf51c66e00dcffe621939c04031ac7e27bda697a24697a482d47e27b
62,triad__BMIM__PF6__THF__CSA,triad,BMIM,PF6,THF,CSA,7.6,data/chauhan_cation_eox/initial/triad__BMIM__PF6__THF__CSA.xyz,0,0,1,1,1,none,,triad__BMIM__PF6__THF__CSA,bce07fad1b3cce1493bf29eb146a264dcfb0f4646f5fef7f3d4b61b62616a164
63,triad__BMIM__PF6__THF__ACS,triad,BMIM,PF6,THF,ACS,7.6,data/chauhan_cation_eox/initial/triad__BMIM__PF6__THF__ACS.xyz,0,0,1,1,1,none,,triad__BMIM__PF6__THF__ACS,39099c549719b40a2d12fda1af494a507f71d509c35d59c2ccdcf1bb82124364
64,triad__HMIM__PF6__PC__CAS,triad,HMIM,PF6,PC,CAS,65.0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__PC__CAS.xyz,0,0,1,1,1,none,,triad__HMIM__PF6__PC__CAS,ebc833464e9d01a747950dd0c4900743a080cc6c694c1b8297e6eef52e524b44
65,triad__HMIM__PF6__PC__CSA,triad,HMIM,PF6,PC,CSA,65.0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__PC__CSA.xyz,0,0,1,1,1,none,,triad__HMIM__PF6__PC__CSA,04d66eac47dd04d6a423668478a69bf02b92c389f6823988c8a0dc3fe72002ae
66,triad__HMIM__PF6__PC__ACS,triad,HMIM,PF6,PC,ACS,65.0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__PC__ACS.xyz,0,0,1,1,1,none,,triad__HMIM__PF6__PC__ACS,aef4f5b223de8987d8b084782f407a891f2dcecee2d96477fb0f4211b6dc9e89
67,triad__HMIM__PF6__EG__CAS,triad,HMIM,PF6,EG,CAS,37.0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__EG__CAS.xyz,0,0,1,1,1,none,,triad__HMIM__PF6__EG__CAS,10e000af984a1c5b349f65d4a240fb7cc633582c49137588cd582a5822543575
68,triad__HMIM__PF6__EG__CSA,triad,HMIM,PF6,EG,CSA,37.0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__EG__CSA.xyz,0,0,1,1,1,none,,triad__HMIM__PF6__EG__CSA,4b1d38d9c5de249d74c617a0d1df2f9985667bd87ffda0bead81ad99eca075fb
69,triad__HMIM__PF6__EG__ACS,triad,HMIM,PF6,EG,ACS,37.0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__EG__ACS.xyz,0,0,1,1,1,none,,triad__HMIM__PF6__EG__ACS,248ec0eef093db9def94d31a8a62dc3ac87692d0e4dc0b7fc494d12d8e26e938
70,triad__HMIM__PF6__THF__CAS,triad,HMIM,PF6,THF,CAS,7.6,data/chauhan_cation_eox/initial/triad__HMIM__PF6__THF__CAS.xyz,0,0,1,1,1,none,,triad__HMIM__PF6__THF__CAS,ec604d9a402a2cae4d1f677ec7bb5ca4b1e2567408e72c2646f318ad255ee793
71,triad__HMIM__PF6__THF__CSA,triad,HMIM,PF6,THF,CSA,7.6,data/chauhan_cation_eox/initial/triad__HMIM__PF6__THF__CSA.xyz,0,0,1,1,1,none,,triad__HMIM__PF6__THF__CSA,e316f638ad3584d50019aaf17aca2e80b6df8be48d3452385c36059b124e438e
72,triad__HMIM__PF6__THF__ACS,triad,HMIM,PF6,THF,ACS,7.6,data/chauhan_cation_eox/initial/triad__HMIM__PF6__THF__ACS.xyz,0,0,1,1,1,none,,triad__HMIM__PF6__THF__ACS,2dd6787b95709524cba2a472813ec70c377bb7f25ed1c0b8e8b0c3191949f4e4
