job_id,state_id,solvent_id,reaction_ids,purposes,entity_type,species_name,family,formal_charge,multiplicity,split,use_for_training,start_geometry_source,start_geometry_key,start_geometry_hash,smd_parameter_temperature_K,thermochemistry_temperature_K,functional,optfreq_basis,final_sp_basis,ri_acceleration,scf_grid_geometry,thermochemistry,smd_vector_source,smd_parameter_status,nprocs,maxcore_mb_per_rank,planning_core_h,workflow_revision,method_id,output_fields,job_status,method_source_id
OF011,D089_QP2_M1,S002,RXN_SIG_M089,complete sigma tuple; radical-cation state reused,sigma_complex_dication,"3,6-Bis(thiophen-2-yl)-2,5-dimethyl-DPP (TDPP-Me) sigma-complex dication",Donor–Acceptor units,2,1,train,1,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D089:S002:q2:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,40.0,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF012,M077_Q0_M1,S002,RXN_MOX_M077,complete monomer oxidation tuple,monomer,"3,6-Bis(EDOT-2-yl)-9-methylcarbazole",Carbazoles,0,1,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M077:S002:q0:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF013,M077_QP1_M2,S002,RXN_MOX_M077;RXN_SIG_M077,complete monomer oxidation tuple; reused by sigma tuple,monomer,"3,6-Bis(EDOT-2-yl)-9-methylcarbazole",Carbazoles,1,2,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M077:S002:q1:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF014,M089_Q0_M1,S002,RXN_MOX_M089,complete monomer oxidation tuple,monomer,"3,6-Bis(thiophen-2-yl)-2,5-dimethyl-DPP (TDPP-Me)",Donor–Acceptor units,0,1,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M089:S002:q0:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF015,M089_QP1_M2,S002,RXN_MOX_M089;RXN_SIG_M089,complete monomer oxidation tuple; reused by sigma tuple,monomer,"3,6-Bis(thiophen-2-yl)-2,5-dimethyl-DPP (TDPP-Me)",Donor–Acceptor units,1,2,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M089:S002:q1:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF016,S002_Q0_M1,S002,RXN_SOX_S002,complete solvent self-oxidation tuple,solvent_oxidation_target,Dichloromethane (DCM),Halogenated solvent,0,1,test,0,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S002:S002:q0:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF017,S002_QP1_M2,S002,RXN_SOX_S002,complete solvent self-oxidation tuple,solvent_oxidation_target,Dichloromethane (DCM),Halogenated solvent,1,2,test,0,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S002:S002:q1:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF018,D022_QP2_M1,S003,RXN_SIG_M022,complete sigma tuple; radical-cation state reused,sigma_complex_dication,"3,4-Ethylenedioxythiophene (EDOT) sigma-complex dication",Thiophenes,2,1,train,1,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D022:S003:q2:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,40.0,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF019,D068_QP2_M1,S003,RXN_SIG_M068,complete sigma tuple; radical-cation state reused,sigma_complex_dication,"2,6-Dimethylaniline sigma-complex dication",Anilines,2,1,train,1,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D068:S003:q2:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,40.0,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF020,M022_Q0_M1,S003,RXN_MOX_M022,complete monomer oxidation tuple,monomer,"3,4-Ethylenedioxythiophene (EDOT)",Thiophenes,0,1,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M022:S003:q0:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF021,M022_QP1_M2,S003,RXN_MOX_M022;RXN_SIG_M022,complete monomer oxidation tuple; reused by sigma tuple,monomer,"3,4-Ethylenedioxythiophene (EDOT)",Thiophenes,1,2,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M022:S003:q1:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF022,M068_Q0_M1,S003,RXN_MOX_M068,complete monomer oxidation tuple,monomer,"2,6-Dimethylaniline",Anilines,0,1,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M068:S003:q0:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF023,M068_QP1_M2,S003,RXN_MOX_M068;RXN_SIG_M068,complete monomer oxidation tuple; reused by sigma tuple,monomer,"2,6-Dimethylaniline",Anilines,1,2,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M068:S003:q1:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF024,S003_Q0_M1,S003,RXN_SOX_S003,complete solvent self-oxidation tuple,solvent_oxidation_target,Propylene carbonate (PC),Cyclic carbonate,0,1,val,0,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S003:S003:q0:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF025,S003_QP1_M2,S003,RXN_SOX_S003,complete solvent self-oxidation tuple,solvent_oxidation_target,Propylene carbonate (PC),Cyclic carbonate,1,2,val,0,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S003:S003:q1:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF026,D007_QP2_M1,S004,RXN_SIG_M007,complete sigma tuple; radical-cation state reused,sigma_complex_dication,3-Octylthiophene sigma-complex dication,Thiophenes,2,1,test,0,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D007:S004:q2:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,40.0,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF027,M007_Q0_M1,S004,RXN_MOX_M007,complete monomer oxidation tuple,monomer,3-Octylthiophene,Thiophenes,0,1,test,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M007:S004:q0:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF028,M007_QP1_M2,S004,RXN_MOX_M007;RXN_SIG_M007,complete monomer oxidation tuple; reused by sigma tuple,monomer,3-Octylthiophene,Thiophenes,1,2,test,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M007:S004:q1:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
