solvent_id,solvent_name,smiles,family,smd_parameter_temperature_K,thermochemistry_temperature_K,orca_smd_mode,orca_smd_input_from_source,epsilon,soln_293K,soln25_298K,sola,solb,solg,solc,solh,model_vector_order,numeric_vector_complete_in_this_file,parameter_status,special_case,parameter_source_id,source_payload,orca_echo_fields_to_capture,refrac_cpcm,log_epsilon_natural,resolved_model_vector,parameter_origin_class,row_source_ids,row_source_urls,parameter_decision,orca_parameter_payload_resolved,production_status,echo_absolute_tolerance,temperature_note
S011,γ-Butyrolactone (GBL),O=C1CCCO1,Lactone,298.15,298.15,custom_smd,custom: epsilon=41.7; refrac=1.4356; soln=1.437; soln25=1.4356; sola=0; solb=0.54; solg=64.19367; solc=0; solh=0,41.7,1.437,1.4356,0,0.54,64.19367,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_FULLSPACE_SOLVENT;SRC_SMD2009,epsilon=41.7; refrac=1.4356; soln=1.437; soln25=1.4356; sola=0; solb=0.54; solg=64.19367; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4356,3.7305011288,3.7305011288|1.437|1.4356|0|0.54|64.19367|0|0,project_complete_custom,SRC_FULLSPACE_SOLVENT;SRC_SMD2009,source_fullspace_solvents.csv;https://doi.org/10.1021/jp810292n,Retain the project-reviewed complete gamma-butyrolactone custom SMD set without modification.,epsilon=41.7; refrac=1.4356; soln=1.437; soln25=1.4356; sola=0; solb=0.54; solg=64.19367; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S012,Sulfolane,O=S1(=O)CCCC1,Sulfone,303.15,298.15,custom_smd,"custom self-seed: SMDsolvent(""Sulfolane"")",43.962,1.4833,1.4825,0,0.88,87.49,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,custom_self_seed_registry_exact,SRC_MNSOL_DESCRIPTORS;SRC_SULFOLANE_N25;SRC_ORCA61_SMD,epsilon=43.962; refrac=1.4825; soln=1.4833; soln25=1.4825; sola=0; solb=0.88; solg=87.49; solc=0; solh=0,epsilon;refrac;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4825,3.78332562441,3.78332562441|1.4833|1.4825|0|0.88|87.49|0|0,custom_self_seed_registry_exact_from_frozen_mnsol_vector,SRC_MNSOL_DESCRIPTORS;SRC_SULFOLANE_N25;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.thermofisher.com/order/catalog/product/110970010;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,"Keep the frozen MNSol/Sulfolane n25-completed vector unchanged; initialize ORCA with the self SMDsolvent Sulfolane name, then explicitly override all nine registry fields with smd18 and draco disabled.",epsilon=43.962; refrac=1.4825; soln=1.4833; soln25=1.4825; sola=0.0; solb=0.88; solg=87.49; solc=0.0; solh=0.0,custom_self_seed_registry_exact,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S013,N-Methyl-2-pyrrolidone (NMP),CN1CCCC1=O,Lactam,298.15,298.15,custom_smd,custom: epsilon=32.2; refrac=1.469; soln=1.469; soln25=1.469; sola=0; solb=0.78; solg=59.443916; solc=0; solh=0,32.2,1.469,1.469,0,0.78,59.443916,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_FULLSPACE_SOLVENT;SRC_NMP_PHYS;SRC_MNSOL_DESCRIPTORS;SRC_SMD2009,epsilon=32.2; refrac=1.469; soln=1.469; soln25=1.469; sola=0; solb=0.78; solg=59.443916; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.469,3.47196645255,3.47196645255|1.469|1.469|0|0.78|59.443916|0|0,physical_properties_plus_amide_analogue,SRC_FULLSPACE_SOLVENT;SRC_NMP_PHYS;SRC_MNSOL_DESCRIPTORS;SRC_SMD2009,source_fullspace_solvents.csv;https://www.chemicalbook.com/ChemicalProductProperty_EN_CB2402488.htm;https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://doi.org/10.1021/jp810292n,Use project epsilon/n and measured surface tension (41.3 mN/m); convert solg with 1.43932. Set alpha/phi/psi to zero from composition and use the MNSol tertiary-amide DMAc beta=0.78 analogue.,epsilon=32.2; refrac=1.469; soln=1.469; soln25=1.469; sola=0; solb=0.78; solg=59.443916; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S014,Boron trifluoride diethyl etherate (BFEE),CC[O+](CC)[B-](F)(F)F,Lewis-acid etherate,298.15,298.15,custom_smd,custom: epsilon=4.34; refrac=1.344; soln=1.344; soln25=1.344; sola=0; solb=0.41; solg=23.96; solc=0; solh=0.333333333333,4.34,1.344,1.344,0,0.41,23.96,0,0.333333333333,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_FULLSPACE_SOLVENT;SRC_MNSOL_DESCRIPTORS;SRC_SMD2009,epsilon=4.34; refrac=1.344; soln=1.344; soln25=1.344; sola=0; solb=0.41; solg=23.96; solc=0; solh=0.333333333333,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.344,1.46787434811,1.46787434811|1.344|1.344|0|0.41|23.96|0|0.333333333333,project_effective_medium_plus_ether_analogue,SRC_FULLSPACE_SOLVENT;SRC_MNSOL_DESCRIPTORS;SRC_SMD2009,source_fullspace_solvents.csv;https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://doi.org/10.1021/jp810292n,"Preserve the project BFEE effective-medium epsilon/n. Use the MNSol diethyl-ether CDS analogue (alpha=0, beta=0.41, gamma=23.96), with BFEE composition-specific halogenicity 3/9.",epsilon=4.34; refrac=1.344; soln=1.344; soln25=1.344; sola=0; solb=0.41; solg=23.96; solc=0; solh=0.333333333333,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S015,1-Butyl-3-methylimidazolium hexafluorophosphate ([BMIM][PF6]),CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,Ionic liquid,298.15,298.15,custom_smd,custom: epsilon=11.4; refrac=1.43; soln=1.43; soln25=1.43; sola=0.229; solb=0.265; solg=61.24; solc=0.176470588235; solh=0.352941176471,11.4,1.43,1.43,0.229,0.265,61.24,0.176470588235,0.352941176471,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,effective_medium_parameterization,SRC_FULLSPACE_SOLVENT;SRC_SMD_GIL;SRC_SMD2009,epsilon=11.4; refrac=1.43; soln=1.43; soln25=1.43; sola=0.229; solb=0.265; solg=61.24; solc=0.176470588235; solh=0.352941176471,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.43,2.4336133554,2.4336133554|1.43|1.43|0.229|0.265|61.24|0.176470588235|0.352941176471,project_epsilon_plus_smd_gil,SRC_FULLSPACE_SOLVENT;SRC_SMD_GIL;SRC_SMD2009,source_fullspace_solvents.csv;https://doi.org/10.1021/jp304365v;https://doi.org/10.1021/jp810292n,Use the project-specific dielectric constant and SMD-GIL n/alpha/beta/gamma; compute aromaticity and halogenicity exactly from the 1:1 ion-pair composition.,epsilon=11.4; refrac=1.43; soln=1.43; soln25=1.43; sola=0.229; solb=0.265; solg=61.24; solc=0.176470588235; solh=0.352941176471,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S016,1-Butyl-3-methylimidazolium tetrafluoroborate ([BMIM][BF4]),CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Ionic liquid,298.15,298.15,custom_smd,custom: epsilon=9.7; refrac=1.43; soln=1.43; soln25=1.43; sola=0.229; solb=0.265; solg=61.24; solc=0.2; solh=0.266666666667,9.7,1.43,1.43,0.229,0.265,61.24,0.2,0.266666666667,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,effective_medium_parameterization,SRC_FULLSPACE_SOLVENT;SRC_SMD_GIL;SRC_SMD2009,epsilon=9.7; refrac=1.43; soln=1.43; soln25=1.43; sola=0.229; solb=0.265; solg=61.24; solc=0.2; solh=0.266666666667,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.43,2.27212588551,2.27212588551|1.43|1.43|0.229|0.265|61.24|0.2|0.266666666667,project_epsilon_plus_smd_gil,SRC_FULLSPACE_SOLVENT;SRC_SMD_GIL;SRC_SMD2009,source_fullspace_solvents.csv;https://doi.org/10.1021/jp304365v;https://doi.org/10.1021/jp810292n,Use the project-specific dielectric constant and SMD-GIL n/alpha/beta/gamma; compute aromaticity and halogenicity exactly from the 1:1 ion-pair composition.,epsilon=9.7; refrac=1.43; soln=1.43; soln25=1.43; sola=0.229; solb=0.265; solg=61.24; solc=0.2; solh=0.266666666667,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S017,1-Ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide ([EMIM][TFSI]),CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Ionic liquid,298.15,298.15,custom_smd,custom: epsilon=13.8; refrac=1.43; soln=1.43; soln25=1.43; sola=0.229; solb=0.265; solg=61.24; solc=0.130434782609; solh=0.260869565217,13.8,1.43,1.43,0.229,0.265,61.24,0.130434782609,0.260869565217,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,effective_medium_parameterization,SRC_FULLSPACE_SOLVENT;SRC_SMD_GIL;SRC_SMD2009,epsilon=13.8; refrac=1.43; soln=1.43; soln25=1.43; sola=0.229; solb=0.265; solg=61.24; solc=0.130434782609; solh=0.260869565217,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.43,2.62466859216,2.62466859216|1.43|1.43|0.229|0.265|61.24|0.130434782609|0.260869565217,project_epsilon_plus_smd_gil,SRC_FULLSPACE_SOLVENT;SRC_SMD_GIL;SRC_SMD2009,source_fullspace_solvents.csv;https://doi.org/10.1021/jp304365v;https://doi.org/10.1021/jp810292n,Use the project-specific dielectric constant and SMD-GIL n/alpha/beta/gamma; compute aromaticity and halogenicity exactly from the 1:1 ion-pair composition.,epsilon=13.8; refrac=1.43; soln=1.43; soln25=1.43; sola=0.229; solb=0.265; solg=61.24; solc=0.130434782609; solh=0.260869565217,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S018,Choline chloride/urea (1:2) deep eutectic solvent,C[N+](C)(C)CCO.NC(N)=O.NC(N)=O.[Cl-],Deep eutectic solvent,298.15,298.15,custom_smd,custom: epsilon=9.8; refrac=1.5041; soln=1.5041; soln25=1.5041; sola=0.229; solb=0.265; solg=74.84464; solc=0; solh=0.0625,9.8,1.5041,1.5041,0.229,0.265,74.84464,0,0.0625,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,effective_medium_parameterization,SRC_FULLSPACE_SOLVENT;SRC_RELINE_PHYS;SRC_SMD_GIL;SRC_SMD2009,epsilon=9.8; refrac=1.5041; soln=1.5041; soln25=1.5041; sola=0.229; solb=0.265; solg=74.84464; solc=0; solh=0.0625,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.5041,2.28238238568,2.28238238568|1.5041|1.5041|0.229|0.265|74.84464|0|0.0625,reline_effective_ionic_medium,SRC_FULLSPACE_SOLVENT;SRC_RELINE_PHYS;SRC_SMD_GIL;SRC_SMD2009,source_fullspace_solvents.csv;https://www.chemeo.com/mid/11-784-k/Choline-chloride_Urea;https://doi.org/10.1021/jp304365v;https://doi.org/10.1021/jp810292n,"Freeze one 1:2 reline effective-medium vector: project epsilon, measured n at 298.15 K, measured surface tension 52 mN/m converted to solg, SMD-GIL alpha/beta completion, and exact Cl heavy-atom fraction 1/16.",epsilon=9.8; refrac=1.5041; soln=1.5041; soln25=1.5041; sola=0.229; solb=0.265; solg=74.84464; solc=0; solh=0.0625,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S019,Propionitrile,CCC#N,Nitrile,298.15,298.15,native_orca_smd,native: SMD(Propanonitrile),29.324,1.3655,1.3633,0.02,0.36,38.5,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=29.324; refrac=1.3633; soln=1.3655; soln25=1.3633; sola=0.02; solb=0.36; solg=38.5; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.3633,3.37840629336,3.37840629336|1.3655|1.3633|0.02|0.36|38.5|0|0,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,MNSol/ORCA native propanonitrile descriptors; execute with native ORCA SMD keyword.,epsilon=29.324; refrac=1.3633; soln=1.3655; soln25=1.3633; sola=0.02; solb=0.36; solg=38.5; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S020,"1,2-Dichloroethane",ClCCCl,Halogenated solvent,298.15,298.15,native_orca_smd,"native: SMD(1,2-Dichloroethane)",10.125,1.4448,1.4425,0.1,0.11,45.86,0,0.5,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=10.125; refrac=1.4425; soln=1.4448; soln25=1.4425; sola=0.1; solb=0.11; solg=45.86; solc=0; solh=0.5,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4425,2.31500761299,2.31500761299|1.4448|1.4425|0.1|0.11|45.86|0|0.5,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,"MNSol/ORCA native 1,2-dichloroethane descriptors; execute with native ORCA SMD keyword.",epsilon=10.125; refrac=1.4425; soln=1.4448; soln25=1.4425; sola=0.1; solb=0.11; solg=45.86; solc=0; solh=0.5,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S021,Chloroform,ClC(Cl)Cl,Halogenated solvent,298.15,298.15,native_orca_smd,native: SMD(Chloroform),4.7113,1.4459,1.4431,0.15,0.02,38.39,0,0.75,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=4.7113; refrac=1.4431; soln=1.4459; soln25=1.4431; sola=0.15; solb=0.02; solg=38.39; solc=0; solh=0.75,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4431,1.54996387844,1.54996387844|1.4459|1.4431|0.15|0.02|38.39|0|0.75,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,MNSol/ORCA native chloroform descriptors; execute with native ORCA SMD keyword.,epsilon=4.7113; refrac=1.4431; soln=1.4459; soln25=1.4431; sola=0.15; solb=0.02; solg=38.39; solc=0; solh=0.75,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S022,Ethylene carbonate,O=C1OCCO1,Cyclic carbonate,313.15,298.15,custom_smd,custom: epsilon=89.78; refrac=1.415; soln=1.415; soln25=1.415; sola=0; solb=0.735; solg=20.2; solc=0; solh=0,89.78,1.415,1.415,0,0.735,20.2,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_FULLSPACE_SOLVENT;SRC_EC_SMD;SRC_SMD2009,epsilon=89.78; refrac=1.415; soln=1.415; soln25=1.415; sola=0; solb=0.735; solg=20.2; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.415,4.49736223335,4.49736223335|1.415|1.415|0|0.735|20.2|0|0,project_epsilon_plus_published_ec_cds,SRC_FULLSPACE_SOLVENT;SRC_EC_SMD;SRC_SMD2009,source_fullspace_solvents.csv;https://doi.org/10.1038/s41597-021-00986-9;https://doi.org/10.1021/jp810292n,Use the project pure-EC dielectric at 313.15 K and the published pure-EC SMD non-electrostatic descriptors. Do not use the EC:EMC blend dielectric from that publication.,epsilon=89.78; refrac=1.415; soln=1.415; soln25=1.415; sola=0; solb=0.735; solg=20.2; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S023,Dimethyl carbonate,COC(=O)OC,Linear carbonate,298.15,298.15,custom_smd,custom: epsilon=3.087; refrac=1.3687; soln=1.3687; soln25=1.3687; sola=0; solb=0.4; solg=40.4161056; solc=0; solh=0,3.087,1.3687,1.3687,0,0.4,40.4161056,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_FULLSPACE_SOLVENT;SRC_DMC_PHYS;SRC_DMC_HBA;SRC_SMD2009,epsilon=3.087; refrac=1.3687; soln=1.3687; soln25=1.3687; sola=0; solb=0.4; solg=40.4161056; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.3687,1.12719974552,1.12719974552|1.3687|1.3687|0|0.4|40.4161056|0|0,physical_properties_plus_carbonate_basicity,SRC_FULLSPACE_SOLVENT;SRC_DMC_PHYS;SRC_DMC_HBA;SRC_SMD2009,source_fullspace_solvents.csv;https://www.chemicalbook.com/ProductChemicalPropertiesCB8853983_EN.htm;https://doi.org/10.1021/acs.joc.0c02964;https://doi.org/10.1021/jp810292n,"Use project epsilon/n, measured surface tension 28.08 mN/m converted to solg, zero alpha/phi/psi, and the measured carbonate hydrogen-bond-acceptance value 0.40 as the SMD basicity completion.",epsilon=3.087; refrac=1.3687; soln=1.3687; soln25=1.3687; sola=0; solb=0.4; solg=40.4161056; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S024,"1,4-Dioxane",C1COCCO1,Ether,298.15,298.15,native_orca_smd,"native: SMD(1,4-Dioxane)",2.2099,1.4224,1.4204,0,0.64,47.14,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=2.2099; refrac=1.4204; soln=1.4224; soln25=1.4204; sola=0; solb=0.64; solg=47.14; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4204,0.792947265637,0.792947265637|1.4224|1.4204|0|0.64|47.14|0|0,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,"MNSol/ORCA native 1,4-dioxane descriptors; execute with native ORCA SMD keyword.",epsilon=2.2099; refrac=1.4204; soln=1.4224; soln25=1.4204; sola=0; solb=0.64; solg=47.14; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S025,Diethylene glycol dimethyl ether (diglyme),COCCOCCOC,Polyether,298.15,298.15,custom_smd,custom: epsilon=7.3; refrac=1.4097; soln=1.4097; soln25=1.4097; sola=0; solb=0.859; solg=36.83; solc=0; solh=0,7.3,1.4097,1.4097,0,0.859,36.83,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_FULLSPACE_SOLVENT;SRC_DIGLYME_SMD;SRC_SMD2009,epsilon=7.3; refrac=1.4097; soln=1.4097; soln25=1.4097; sola=0; solb=0.859; solg=36.83; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4097,1.98787434815,1.98787434815|1.4097|1.4097|0|0.859|36.83|0|0,published_complete_cds_plus_project_epsilon,SRC_FULLSPACE_SOLVENT;SRC_DIGLYME_SMD;SRC_SMD2009,source_fullspace_solvents.csv;https://doi.org/10.1021/acscentsci.7b00012;https://doi.org/10.1021/jp810292n,"Use the project dielectric and the published diglyme SMD CDS set (n=1.4097, beta=0.859, gamma=36.83; alpha/phi/psi=0).",epsilon=7.3; refrac=1.4097; soln=1.4097; soln25=1.4097; sola=0; solb=0.859; solg=36.83; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
