reaction_id,reaction_class,role,parent_id,parent_name,parent_smiles,family,selected_for_calibration,split,anchor_type,solvent_count,solvent_ids,selection_basis,source_id
RXN_MOX_M060,redox,monomer,M060,Aniline,Nc1ccccc1,Anilines,1,train,,4,S023;S002;S006;S017,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M068,redox,monomer,M068,"2,6-Dimethylaniline",Cc1cccc(C)c1N,Anilines,1,train,,4,S024;S020;S013;S003,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M069,redox,monomer,M069,Diphenylamine,c1ccc(Nc2ccccc2)cc1,Anilines,1,test,,4,S001;S007;S022;S015,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M070,redox,monomer,M070,Carbazole,c1ccc2c(c1)[nH]c1ccccc12,Carbazoles,1,train,,4,S014;S004;S011;S016,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M074,redox,monomer,M074,N-Octylcarbazole,CCCCCCCCn1c2ccccc2c2ccccc21,Carbazoles,1,train,,4,S008;S005;S012;S017,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M077,redox,monomer,M077,"3,6-Bis(EDOT-2-yl)-9-methylcarbazole",Cn1c2ccc(-c3scc4c3OCCO4)cc2c2cc(-c3scc4c3OCCO4)ccc21,Carbazoles,1,train,,4,S025;S002;S006;S018,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M078,redox,monomer,M078,"9,9-Dimethylfluorene",CC1(C)c2ccccc2-c2ccccc21,Fluorenes,1,val,,4,S023;S020;S013;S003,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M083,redox,monomer,M083,"9,9-Dioctylfluorene",CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccccc21,Fluorenes,1,train,,4,S001;S007;S022;S016,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M084,redox,monomer,M084,"4,7-Bis(thiophen-2-yl)-2,1,3-benzothiadiazole (TBT)",c1csc(-c2ccc3nsnc3c2-c2cccs2)c1,Donor–Acceptor units,1,test,test_full25,25,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S023;S024;S025,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M086,redox,monomer,M086,"Thieno[3,4-b]pyrazine",c1cnc2cscc2n1,Donor–Acceptor units,1,train,,4,S014;S005;S012;S018,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M089,redox,monomer,M089,"3,6-Bis(thiophen-2-yl)-2,5-dimethyl-DPP (TDPP-Me)",CN1C(=O)C2=C(c3cccs3)N(C)C(=O)C2=C1c1cccs1,Donor–Acceptor units,1,train,,4,S008;S002;S006;S015,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M094,redox,monomer,M094,"Cyclopenta[2,1-b:3,4-b′]dithiophene (CPDT)",c1cc2c(s1)-c1sccc1C2,Fused-ring systems,1,train,,4,S025;S020;S013;S003,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M096,redox,monomer,M096,"4,4-Dihexyl-CPDT",CCCCCCC1(CCCCCC)c2ccsc2-c2sccc21,Fused-ring systems,1,val,,4,S001;S007;S022;S017,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M097,redox,monomer,M097,"Dithieno[3,2-b:2′,3′-d]pyrrole (DTP)",c1cc2[nH]c3ccsc3c2s1,Fused-ring systems,1,train,,4,S024;S004;S011;S018,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_AOX_A001,redox,anion,A001,Hexafluorophosphate (PF6−),F[P-](F)(F)(F)(F)F,Tetraalkylammonium,1,train,,4,S001;S007;S022;S015,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A002,redox,anion,A002,Tetrafluoroborate (BF4−),F[B-](F)(F)F,Lithium; Tetraalkylammonium,1,test,test_full25,25,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S023;S024;S025,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A003,redox,anion,A003,Perchlorate (ClO4−),[O-][Cl+3]([O-])([O-])[O-],Acid; Lithium; Silver; Sodium; Tetraalkylammonium,1,train,,4,S023;S005;S012;S017,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A004,redox,anion,A004,Trifluoromethanesulfonate (OTf−),O=S(=O)([O-])C(F)(F)F,Tetraalkylammonium,1,test,,4,S024;S002;S006;S018,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A005,redox,anion,A005,Bis(trifluoromethanesulfonyl)imide (TFSI−),O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Lithium; Tetraalkylammonium,1,train,train_full25,25,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S023;S024;S025,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A006,redox,anion,A006,Poly(styrene sulfonate) H-capped repeat-unit anion (PSS− proxy),CCc1ccc(S(=O)(=O)[O-])cc1,Polymeric,1,val,,4,S001;S007;S022;S016,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A007,redox,anion,A007,4-Dodecylbenzenesulfonate (DBSA−),CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,Surfactant,1,train,,4,S008;S004;S011;S017,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A008,redox,anion,A008,Hydrogen sulfate (HSO4−),O=S(=O)([O-])O,Acid,1,train,,4,S025;S005;S012;S018,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A009,redox,anion,A009,"4-Methylbenzenesulfonate (tosylate, pTS−)",Cc1ccc(S(=O)(=O)[O-])cc1,Organic acid,1,train,,4,S023;S002;S006;S015,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A010,redox,anion,A010,Camphor-10-sulfonate (CSA−),CC1(C)C2CCC1(CS(=O)(=O)[O-])C(=O)C2,Organic acid,1,train,,4,S024;S020;S013;S003,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_AOX_A011,redox,anion,A011,Chloride (Cl−),[Cl-],Inorganic,1,val,,4,S001;S007;S022;S017,all 11 unique anions; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_ELECTROLYTE;SRC_HANDOFF_SPEC
RXN_SOX_S001,redox,solvent,S001,Acetonitrile (MeCN),CC#N,Nitrile,1,train,self_medium,1,S001,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S002,redox,solvent,S002,Dichloromethane (DCM),ClCCl,Halogenated solvent,1,test,self_medium,1,S002,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S003,redox,solvent,S003,Propylene carbonate (PC),CC1COC(=O)O1,Cyclic carbonate,1,val,self_medium,1,S003,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S004,redox,solvent,S004,Nitrobenzene,O=[N+]([O-])c1ccccc1,Nitro solvent,1,test,self_medium,1,S004,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S005,redox,solvent,S005,Benzonitrile,N#Cc1ccccc1,Nitrile,1,train,self_medium,1,S005,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S006,redox,solvent,S006,"N,N-Dimethylformamide (DMF)",CN(C)C=O,Amide,1,val,self_medium,1,S006,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S007,redox,solvent,S007,Dimethyl sulfoxide (DMSO),CS(C)=O,Sulfoxide,1,train,self_medium,1,S007,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S008,redox,solvent,S008,Tetrahydrofuran (THF),C1CCOC1,Ether,1,train,self_medium,1,S008,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S009,redox,solvent,S009,Nitromethane,C[N+](=O)[O-],Nitro solvent,1,train,self_medium,1,S009,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S010,redox,solvent,S010,Water,O,Aqueous,1,train,self_medium,1,S010,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S011,redox,solvent,S011,γ-Butyrolactone (GBL),O=C1CCCO1,Lactone,1,train,self_medium,1,S011,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S012,redox,solvent,S012,Sulfolane,O=S1(=O)CCCC1,Sulfone,1,train,self_medium,1,S012,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S013,redox,solvent,S013,N-Methyl-2-pyrrolidone (NMP),CN1CCCC1=O,Lactam,1,train,self_medium,1,S013,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S014,redox,solvent,S014,Boron trifluoride diethyl etherate (BFEE),CC[O+](CC)[B-](F)(F)F,Lewis-acid etherate,1,train,self_medium,1,S014,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S015,redox,solvent,S015,1-Butyl-3-methylimidazolium hexafluorophosphate ([BMIM][PF6]),CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,Ionic liquid,1,val,self_medium,1,S015,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S016,redox,solvent,S016,1-Butyl-3-methylimidazolium tetrafluoroborate ([BMIM][BF4]),CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Ionic liquid,1,train,self_medium,1,S016,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S017,redox,solvent,S017,1-Ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide ([EMIM][TFSI]),CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Ionic liquid,1,test,self_medium,1,S017,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S018,redox,solvent,S018,Choline chloride/urea (1:2) deep eutectic solvent,C[N+](C)(C)CCO.NC(N)=O.NC(N)=O.[Cl-],Deep eutectic solvent,1,train,self_medium,1,S018,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S019,redox,solvent,S019,Propionitrile,CCC#N,Nitrile,1,val,self_medium,1,S019,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S020,redox,solvent,S020,"1,2-Dichloroethane",ClCCCl,Halogenated solvent,1,train,self_medium,1,S020,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S021,redox,solvent,S021,Chloroform,ClC(Cl)Cl,Halogenated solvent,1,train,self_medium,1,S021,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S022,redox,solvent,S022,Ethylene carbonate,O=C1OCCO1,Cyclic carbonate,1,train,self_medium,1,S022,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S023,redox,solvent,S023,Dimethyl carbonate,COC(=O)OC,Linear carbonate,1,train,self_medium,1,S023,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S024,redox,solvent,S024,"1,4-Dioxane",C1COCCO1,Ether,1,test,self_medium,1,S024,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SOX_S025,redox,solvent,S025,Diethylene glycol dimethyl ether (diglyme),COCCOCCOC,Polyether,1,train,self_medium,1,S025,all 25 solvent oxidation targets; self-medium only,SRC_FULLSPACE_SOLVENT;SRC_HANDOFF_SPEC
RXN_SIG_M001,sigma_dimerization,monomer_sigma,M001,Thiophene,c1ccsc1,Thiophenes,1,train,,4,S001;S007;S022;S015,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M007,sigma_dimerization,monomer_sigma,M007,3-Octylthiophene,CCCCCCCCc1ccsc1,Thiophenes,1,test,,4,S024;S004;S011;S016,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M022,sigma_dimerization,monomer_sigma,M022,"3,4-Ethylenedioxythiophene (EDOT)",c1scc2c1OCCO2,Thiophenes,1,train,train_full25,25,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S023;S024;S025,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M024,sigma_dimerization,monomer_sigma,M024,"2,2′-Bithiophene",c1csc(-c2cccs2)c1,Thiophenes,1,train,,4,S023;S004;S011;S017,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M026,sigma_dimerization,monomer_sigma,M026,Pyrrole,c1cc[nH]c1,Pyrroles,1,train,,4,S024;S005;S012;S018,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M027,sigma_dimerization,monomer_sigma,M027,N-Methylpyrrole,Cn1cccc1,Pyrroles,1,test,test_full25,25,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S023;S024;S025,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M038,sigma_dimerization,monomer_sigma,M038,Furan,c1ccoc1,Furans,1,train,,4,S025;S004;S011;S018,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M042,sigma_dimerization,monomer_sigma,M042,3-Octylfuran,CCCCCCCCc1ccoc1,Furans,1,train,,4,S023;S005;S012;S015,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M055,sigma_dimerization,monomer_sigma,M055,3-Octylselenophene,CCCCCCCCc1cc[se]c1,Selenophenes,1,train,,4,S008;S004;S011;S015,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M058,sigma_dimerization,monomer_sigma,M058,"3,4-Ethylenedioxyselenophene (EDOS)",c1[se]cc2c1OCCO2,Selenophenes,1,val,,4,S025;S005;S012;S016,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M060,sigma_dimerization,monomer_sigma,M060,Aniline,Nc1ccccc1,Anilines,1,train,,4,S023;S002;S006;S017,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M068,sigma_dimerization,monomer_sigma,M068,"2,6-Dimethylaniline",Cc1cccc(C)c1N,Anilines,1,train,,4,S024;S020;S013;S003,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M070,sigma_dimerization,monomer_sigma,M070,Carbazole,c1ccc2c(c1)[nH]c1ccccc12,Carbazoles,1,train,,4,S014;S004;S011;S016,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M077,sigma_dimerization,monomer_sigma,M077,"3,6-Bis(EDOT-2-yl)-9-methylcarbazole",Cn1c2ccc(-c3scc4c3OCCO4)cc2c2cc(-c3scc4c3OCCO4)ccc21,Carbazoles,1,train,,4,S025;S002;S006;S018,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M078,sigma_dimerization,monomer_sigma,M078,"9,9-Dimethylfluorene",CC1(C)c2ccccc2-c2ccccc21,Fluorenes,1,val,,4,S023;S020;S013;S003,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M084,sigma_dimerization,monomer_sigma,M084,"4,7-Bis(thiophen-2-yl)-2,1,3-benzothiadiazole (TBT)",c1csc(-c2ccc3nsnc3c2-c2cccs2)c1,Donor–Acceptor units,1,test,,4,S004;S011;S016;S024,20-family-balanced sigma subset; four-medium balanced assignment; shares S016 with the complete Opt/Freq tuple,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M086,sigma_dimerization,monomer_sigma,M086,"Thieno[3,4-b]pyrazine",c1cnc2cscc2n1,Donor–Acceptor units,1,train,,4,S014;S005;S012;S018,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M089,sigma_dimerization,monomer_sigma,M089,"3,6-Bis(thiophen-2-yl)-2,5-dimethyl-DPP (TDPP-Me)",CN1C(=O)C2=C(c3cccs3)N(C)C(=O)C2=C1c1cccs1,Donor–Acceptor units,1,train,,4,S008;S002;S006;S015,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
RXN_SIG_M094,sigma_dimerization,monomer_sigma,M094,"Cyclopenta[2,1-b:3,4-b′]dithiophene (CPDT)",c1cc2c(s1)-c1sccc1C2,Fused-ring systems,1,train,,4,S025;S020;S013;S003,20-family-balanced sigma subset; reuses parent monomer medium set or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER2_CURRENT;SRC_HANDOFF_SPEC
