reaction_id,reaction_class,role,parent_id,reaction_name,stoichiometry,equation,primary_target,derived_target,internal_unit,solvent_policy,selected_for_calibration,split,anchor_type,assigned_solvent_ids,source_id
RXN_MOX_M011,redox,monomer,M011,Oxidation of 3-Chlorothiophene,M011_Q0_M1:-1;M011_QP1_M2:+1,M011_Q0_M1 -> M011_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M012,redox,monomer,M012,Oxidation of 3-Bromothiophene,M012_Q0_M1:-1;M012_QP1_M2:+1,M012_Q0_M1 -> M012_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M013,redox,monomer,M013,Oxidation of Thiophene-3-carbonitrile,M013_Q0_M1:-1;M013_QP1_M2:+1,M013_Q0_M1 -> M013_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S021;S005;S012;S017,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M014,redox,monomer,M014,Oxidation of Methyl thiophene-3-carboxylate,M014_Q0_M1:-1;M014_QP1_M2:+1,M014_Q0_M1 -> M014_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S014;S002;S006;S018,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M015,redox,monomer,M015,Oxidation of 3-Acetylthiophene,M015_Q0_M1:-1;M015_QP1_M2:+1,M015_Q0_M1 -> M015_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M016,redox,monomer,M016,"Oxidation of 3,4-Dimethylthiophene",M016_Q0_M1:-1;M016_QP1_M2:+1,M016_Q0_M1 -> M016_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M017,redox,monomer,M017,"Oxidation of 3,4-Diethylthiophene",M017_Q0_M1:-1;M017_QP1_M2:+1,M017_Q0_M1 -> M017_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S008;S020;S013;S003,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M018,redox,monomer,M018,"Oxidation of 3,4-Difluorothiophene",M018_Q0_M1:-1;M018_QP1_M2:+1,M018_Q0_M1 -> M018_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M019,redox,monomer,M019,"Oxidation of 3,4-Dichlorothiophene",M019_Q0_M1:-1;M019_QP1_M2:+1,M019_Q0_M1 -> M019_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M020,redox,monomer,M020,"Oxidation of 3,4-Dimethoxythiophene",M020_Q0_M1:-1;M020_QP1_M2:+1,M020_Q0_M1 -> M020_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M021,redox,monomer,M021,Oxidation of 3-(Trifluoromethyl)thiophene,M021_Q0_M1:-1;M021_QP1_M2:+1,M021_Q0_M1 -> M021_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M022,redox,monomer,M022,"Oxidation of 3,4-Ethylenedioxythiophene (EDOT)",M022_Q0_M1:-1;M022_QP1_M2:+1,M022_Q0_M1 -> M022_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,train_full25,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S023;S024;S025,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M023,redox,monomer,M023,"Oxidation of 3,4-Propylenedioxythiophene (ProDOT)",M023_Q0_M1:-1;M023_QP1_M2:+1,M023_Q0_M1 -> M023_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M024,redox,monomer,M024,"Oxidation of 2,2′-Bithiophene",M024_Q0_M1:-1;M024_QP1_M2:+1,M024_Q0_M1 -> M024_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S023;S004;S011;S017,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M025,redox,monomer,M025,"Oxidation of 2,2′:5′,2″-Terthiophene",M025_Q0_M1:-1;M025_QP1_M2:+1,M025_Q0_M1 -> M025_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M026,redox,monomer,M026,Oxidation of Pyrrole,M026_Q0_M1:-1;M026_QP1_M2:+1,M026_Q0_M1 -> M026_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S024;S005;S012;S018,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M027,redox,monomer,M027,Oxidation of N-Methylpyrrole,M027_Q0_M1:-1;M027_QP1_M2:+1,M027_Q0_M1 -> M027_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,test,,S021;S002;S006;S015,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M028,redox,monomer,M028,Oxidation of N-Ethylpyrrole,M028_Q0_M1:-1;M028_QP1_M2:+1,M028_Q0_M1 -> M028_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M029,redox,monomer,M029,Oxidation of N-Propylpyrrole,M029_Q0_M1:-1;M029_QP1_M2:+1,M029_Q0_M1 -> M029_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M030,redox,monomer,M030,Oxidation of N-Hexylpyrrole,M030_Q0_M1:-1;M030_QP1_M2:+1,M030_Q0_M1 -> M030_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M031,redox,monomer,M031,Oxidation of N-Octylpyrrole,M031_Q0_M1:-1;M031_QP1_M2:+1,M031_Q0_M1 -> M031_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,val,,S014;S020;S013;S003,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M032,redox,monomer,M032,Oxidation of 3-Methylpyrrole,M032_Q0_M1:-1;M032_QP1_M2:+1,M032_Q0_M1 -> M032_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M033,redox,monomer,M033,Oxidation of 3-Ethylpyrrole,M033_Q0_M1:-1;M033_QP1_M2:+1,M033_Q0_M1 -> M033_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M034,redox,monomer,M034,"Oxidation of 3,4-Dimethylpyrrole",M034_Q0_M1:-1;M034_QP1_M2:+1,M034_Q0_M1 -> M034_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M035,redox,monomer,M035,"Oxidation of 3,4-Diethylpyrrole",M035_Q0_M1:-1;M035_QP1_M2:+1,M035_Q0_M1 -> M035_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M036,redox,monomer,M036,"Oxidation of 3,4-Ethylenedioxypyrrole (EDOP)",M036_Q0_M1:-1;M036_QP1_M2:+1,M036_Q0_M1 -> M036_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S001;S007;S022;S017,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M037,redox,monomer,M037,"Oxidation of N-Methyl-3,4-ethylenedioxypyrrole (N-Me-EDOP)",M037_Q0_M1:-1;M037_QP1_M2:+1,M037_Q0_M1 -> M037_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M038,redox,monomer,M038,Oxidation of Furan,M038_Q0_M1:-1;M038_QP1_M2:+1,M038_Q0_M1 -> M038_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S025;S004;S011;S018,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M039,redox,monomer,M039,Oxidation of 3-Methylfuran,M039_Q0_M1:-1;M039_QP1_M2:+1,M039_Q0_M1 -> M039_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M040,redox,monomer,M040,Oxidation of 3-Ethylfuran,M040_Q0_M1:-1;M040_QP1_M2:+1,M040_Q0_M1 -> M040_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M041,redox,monomer,M041,Oxidation of 3-Hexylfuran,M041_Q0_M1:-1;M041_QP1_M2:+1,M041_Q0_M1 -> M041_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M042,redox,monomer,M042,Oxidation of 3-Octylfuran,M042_Q0_M1:-1;M042_QP1_M2:+1,M042_Q0_M1 -> M042_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S023;S005;S012;S015,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M043,redox,monomer,M043,Oxidation of 3-Methoxyfuran,M043_Q0_M1:-1;M043_QP1_M2:+1,M043_Q0_M1 -> M043_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M044,redox,monomer,M044,Oxidation of 3-Fluorofuran,M044_Q0_M1:-1;M044_QP1_M2:+1,M044_Q0_M1 -> M044_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M045,redox,monomer,M045,"Oxidation of 3,4-Dimethylfuran",M045_Q0_M1:-1;M045_QP1_M2:+1,M045_Q0_M1 -> M045_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M046,redox,monomer,M046,"Oxidation of 3,4-Difluorofuran",M046_Q0_M1:-1;M046_QP1_M2:+1,M046_Q0_M1 -> M046_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M047,redox,monomer,M047,"Oxidation of 3,4-Dimethoxyfuran",M047_Q0_M1:-1;M047_QP1_M2:+1,M047_Q0_M1 -> M047_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,val,,S024;S002;S006;S016,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M048,redox,monomer,M048,"Oxidation of 2,2′-Bifuran",M048_Q0_M1:-1;M048_QP1_M2:+1,M048_Q0_M1 -> M048_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,test,,S021;S020;S013;S003,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M049,redox,monomer,M049,"Oxidation of 2,2′:5′,2″-Terfuran",M049_Q0_M1:-1;M049_QP1_M2:+1,M049_Q0_M1 -> M049_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M050,redox,monomer,M050,Oxidation of Selenophene,M050_Q0_M1:-1;M050_QP1_M2:+1,M050_Q0_M1 -> M050_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S001;S007;S022;S018,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M051,redox,monomer,M051,Oxidation of 3-Methylselenophene,M051_Q0_M1:-1;M051_QP1_M2:+1,M051_Q0_M1 -> M051_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M052,redox,monomer,M052,Oxidation of 3-Ethylselenophene,M052_Q0_M1:-1;M052_QP1_M2:+1,M052_Q0_M1 -> M052_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M053,redox,monomer,M053,Oxidation of 3-Butylselenophene,M053_Q0_M1:-1;M053_QP1_M2:+1,M053_Q0_M1 -> M053_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M054,redox,monomer,M054,Oxidation of 3-Hexylselenophene,M054_Q0_M1:-1;M054_QP1_M2:+1,M054_Q0_M1 -> M054_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M055,redox,monomer,M055,Oxidation of 3-Octylselenophene,M055_Q0_M1:-1;M055_QP1_M2:+1,M055_Q0_M1 -> M055_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S008;S004;S011;S015,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M056,redox,monomer,M056,Oxidation of 3-Fluoroselenophene,M056_Q0_M1:-1;M056_QP1_M2:+1,M056_Q0_M1 -> M056_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M057,redox,monomer,M057,"Oxidation of 3,4-Dimethylselenophene",M057_Q0_M1:-1;M057_QP1_M2:+1,M057_Q0_M1 -> M057_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M058,redox,monomer,M058,"Oxidation of 3,4-Ethylenedioxyselenophene (EDOS)",M058_Q0_M1:-1;M058_QP1_M2:+1,M058_Q0_M1 -> M058_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,val,,S025;S005;S012;S016,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M059,redox,monomer,M059,"Oxidation of 3,4-Propylenedioxyselenophene (ProDOS)",M059_Q0_M1:-1;M059_QP1_M2:+1,M059_Q0_M1 -> M059_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M060,redox,monomer,M060,Oxidation of Aniline,M060_Q0_M1:-1;M060_QP1_M2:+1,M060_Q0_M1 -> M060_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S023;S002;S006;S017,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M061,redox,monomer,M061,Oxidation of 2-Methylaniline (o-toluidine),M061_Q0_M1:-1;M061_QP1_M2:+1,M061_Q0_M1 -> M061_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M062,redox,monomer,M062,Oxidation of 3-Methylaniline (m-toluidine),M062_Q0_M1:-1;M062_QP1_M2:+1,M062_Q0_M1 -> M062_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M063,redox,monomer,M063,Oxidation of 2-Methoxyaniline (o-anisidine),M063_Q0_M1:-1;M063_QP1_M2:+1,M063_Q0_M1 -> M063_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M064,redox,monomer,M064,Oxidation of 3-Methoxyaniline (m-anisidine),M064_Q0_M1:-1;M064_QP1_M2:+1,M064_Q0_M1 -> M064_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M065,redox,monomer,M065,Oxidation of 2-Aminophenol (o-aminophenol),M065_Q0_M1:-1;M065_QP1_M2:+1,M065_Q0_M1 -> M065_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M066,redox,monomer,M066,Oxidation of 3-Aminophenol (m-aminophenol),M066_Q0_M1:-1;M066_QP1_M2:+1,M066_Q0_M1 -> M066_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M067,redox,monomer,M067,Oxidation of 2-Fluoroaniline,M067_Q0_M1:-1;M067_QP1_M2:+1,M067_Q0_M1 -> M067_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M068,redox,monomer,M068,"Oxidation of 2,6-Dimethylaniline",M068_Q0_M1:-1;M068_QP1_M2:+1,M068_Q0_M1 -> M068_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S024;S020;S013;S003,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M069,redox,monomer,M069,Oxidation of Diphenylamine,M069_Q0_M1:-1;M069_QP1_M2:+1,M069_Q0_M1 -> M069_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,test,,S001;S007;S022;S015,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M070,redox,monomer,M070,Oxidation of Carbazole,M070_Q0_M1:-1;M070_QP1_M2:+1,M070_Q0_M1 -> M070_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S014;S004;S011;S016,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M071,redox,monomer,M071,Oxidation of N-Methylcarbazole,M071_Q0_M1:-1;M071_QP1_M2:+1,M071_Q0_M1 -> M071_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M072,redox,monomer,M072,Oxidation of N-Ethylcarbazole,M072_Q0_M1:-1;M072_QP1_M2:+1,M072_Q0_M1 -> M072_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M073,redox,monomer,M073,Oxidation of N-Hexylcarbazole,M073_Q0_M1:-1;M073_QP1_M2:+1,M073_Q0_M1 -> M073_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M074,redox,monomer,M074,Oxidation of N-Octylcarbazole,M074_Q0_M1:-1;M074_QP1_M2:+1,M074_Q0_M1 -> M074_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S008;S005;S012;S017,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M075,redox,monomer,M075,Oxidation of N-Vinylcarbazole,M075_Q0_M1:-1;M075_QP1_M2:+1,M075_Q0_M1 -> M075_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M076,redox,monomer,M076,"Oxidation of 3,6-Bis(thiophen-2-yl)-9-methylcarbazole",M076_Q0_M1:-1;M076_QP1_M2:+1,M076_Q0_M1 -> M076_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
